id,Tokens,Subject_Entity,Object_Entity,Subject_Type,Object_Type,Subject_Start,Subject_End,Object_Start,Object_End,True_Labels,Initial_Predictions,Confidence
001,Dr. Eleanor Fischer was recently appointed as the Chief Medical Officer at New York Presbyterian Hospital after a decade of service in pediatric medicine .,Eleanor Fischer,Chief Medical Officer,PERSON,TITLE,1,1,8,10,per:title,per:title,0.9990234375
002,InnovateTech Corporation was established by Dr. Harrison Wells and his colleague to pioneer cutting-edge biotechnological advancements .,InnovateTech Corporation,Dr. Harrison,ORGANIZATION,PERSON,0,0,5,6,org:founded_by,org:founded_by,0.9951171875
003,Emily Reynolds and Daniel Reynolds celebrated their 20th wedding anniversary at a grand ceremony in Hawaii .,Emily Reynolds,Daniel Reynolds,PERSON,PERSON,0,0,3,4,per:spouse,per:spouse,0.99755859375
004,"After a successful career spanning two decades , Michael Anderson was promoted to the position of Chief Technology Officer at Cyberdyne Industries .",Michael Anderson,Cyberdyne Industries,PERSON,ORGANIZATION,8,8,20,21,org:top_members/employees,per:employee_of,1.0
005,"Born on June 14 1946 , Donald Trump became one of the most controversial figures in modern politics .",Trump became,June 14 1946,PERSON,DATE,7,7,2,4,per:date_of_birth,per:date_of_birth,0.99267578125
006,"Following a lengthy trial , Jonathan Henderson was convicted of insider trading and sentenced to five years in federal prison .",Jonathan Henderson,insider trading,PERSON,CRIMINAL_CHARGE,5,5,10,11,per:charges,per:charges,0.9931640625
007,"The official website of GlobalTech Solutions is www.globaltech.com , where customers can access support and purchase products .",GlobalTech Solutions,www.globaltech.com,ORGANIZATION,URL,4,4,7,7,org:website,org:website,0.998046875
008,"Throughout his acting career , Hugh Jackman has lived in both Australia and the United States for extended periods .",Hugh Jackman,both Australia and the United,PERSON,COUNTRY,5,5,10,14,per:countries_of_residence,per:countries_of_residence,0.96923828125
009,"TechInnovators Inc. employs more than 50,000 individuals worldwide in fields ranging from artificial intelligence to renewable energy .",TechInnovators Inc.,"50,000",ORGANIZATION,NUMBER,0,0,5,5,org:number_of_employees/members,org:number_of_employees/members,0.982421875
010,"Leonardo da Vinci was born in Vinci , Italy during the Renaissance period and became one of the most influential figures in art and science .",Leonardo da Vinci,Vinci,PERSON,CITY,0,0,6,6,per:city_of_birth,per:city_of_birth,0.99609375
011,"Although ABC Corporation worked closely with XYZ Enterprises for years , they were never formally affiliated as parent or subsidiary companies .",ABC Corporation,XYZ Enterprises,ORGANIZATION,ORGANIZATION,1,1,6,7,no_relation,no_relation,0.98583984375
012,"Despite his deep admiration for Einstein , Dr. James McGill never met him in person but often cited his work in lectures .",Dr. James,Einstein,PERSON,PERSON,7,7,5,5,no_relation,no_relation,1.0
013,"Dr. Jonathan Reeves was recently appointed as the Chief Data Scientist at NeuralTech , where he will lead the AI research division .",Jonathan Reeves,the Chief Data Scientist,PERSON,TITLE,1,1,7,10,per:title,per:title,0.99853515625
014,"Quantum Dynamics was established in 2005 by Dr. Elaine Patterson , a renowned physicist and entrepreneur .",Quantum Dynamics,Dr. Elaine Patterson,ORGANIZATION,PERSON,0,0,7,9,org:founded_by,org:founded_by,0.99609375
015,"After graduating from Oxford University , Michael Harrison lived in both Canada and Germany due to his work in international law .",Michael Harrison,both Canada and Germany,PERSON,COUNTRY,6,6,10,13,per:countries_of_residence,per:countries_of_residence,0.9638671875
016,"With a staff of over 20,000 employees , Skyline Technologies remains one of the largest IT firms in North America .",Skyline Technologies,"over 20,000",ORGANIZATION,NUMBER,8,8,4,5,org:number_of_employees/members,org:number_of_employees/members,0.9794921875
017,Renowned author and historian Emily Sanders was born on July 14 1975 in Chicago .,Emily Sanders,July 14 1975,PERSON,DATE,4,4,9,11,per:date_of_birth,per:date_of_birth,0.9931640625
018,Former executive Richard Caldwell was charged with tax fraud and embezzlement following a high-profile investigation .,Richard Caldwell,tax fraud and embezzlement,PERSON,CRIMINAL_CHARGE,2,2,7,10,per:charges,per:charges,0.9931640625
019,"For nearly two decades , Susan Keller was a leading scientist at BioGen , where she worked on genome sequencing .",Susan Keller,at,PERSON,ORGANIZATION,5,5,11,11,per:employee_of,per:employee_of,0.99951171875
020,The Liberal Policy Institute is well known for its strong association with progressive ideals and humanitarian efforts .,Liberal Policy Institute,progressive,ORGANIZATION,IDEOLOGY,1,1,12,12,org:political/religious_affiliation,org:political/religious_affiliation,0.79833984375
021,"Born and raised in Madrid , Carlos Lopez developed a passion for architecture before moving to New York for higher studies .",Carlos Lopez,in,PERSON,CITY,6,6,3,3,per:city_of_birth,per:city_of_birth,0.98876953125
022,"Despite frequent travel for their respective careers , Emma Stone and Lucas Martinez have remained happily married for over 15 years .",Emma Stone,Lucas Martinez,PERSON,PERSON,8,8,11,12,per:spouse,per:spouse,0.998046875
023,"Even though GreenCore and EcoSolutions collaborate on several sustainability projects , they remain separate entities with distinct leadership structures .",GreenCore,EcoSolutions,ORGANIZATION,ORGANIZATION,2,2,4,4,no_relation,no_relation,1.0
024,"While working at Quantum Tech , Henry Adams often attended corporate events hosted by SkyNet Industries but never held a formal position there .",Henry Adams,by SkyNet,PERSON,ORGANIZATION,6,6,13,14,no_relation,no_relation,0.99951171875
025,"Although Sarah Wright and Michael Wright share a last name and have been seen together at numerous events , they are actually siblings and not a married couple .",Sarah Wright,Michael Wright,PERSON,PERSON,1,1,4,5,no_relation,per:siblings,0.67724609375
026,"Despite widespread rumors , Amazon and Tesla have never been in a merger or acquisition deal but only worked on a joint project once .",Amazon,Tesla,ORGANIZATION,ORGANIZATION,4,4,6,6,no_relation,no_relation,1.0
027,"Jonathan Hughes was once a respected executive at GlobalSoft Technologies , but after he retired in 2015 , he began working independently as a consultant .",Jonathan Hughes,GlobalSoft Technologies,PERSON,ORGANIZATION,0,0,8,9,per:employee_of,per:employee_of,1.0
028,"While often mistaken for a married couple , Daniel Miller and Sophia Miller are actually siblings who run a business together .",Daniel Miller,Sophia Miller,PERSON,PERSON,8,8,11,12,no_relation,per:siblings,0.9873046875
029,"Despite working closely on numerous projects , TechCorp and InnovateX are not affiliated as subsidiaries or parent companies .",TechCorp,InnovateX,ORGANIZATION,ORGANIZATION,7,7,9,9,no_relation,no_relation,0.9794921875
030,"Although Emma Johnson had a corner office at NeuralTech , she was not an official employee but a long-term consultant .",Emma Johnson,NeuralTech,PERSON,ORGANIZATION,1,1,8,8,no_relation,per:employee_of,0.93359375
031,"While popularly credited as the founder of BioGen , Dr. Henry Clark was actually only an early investor and not the company's official founder .",of,Dr. Henry,ORGANIZATION,PERSON,6,6,9,10,no_relation,org:founded_by,0.9912109375
032,"Though accused of fraud in several media reports , Laura Peterson was never officially charged due to lack of evidence .",Laura Peterson,fraud,PERSON,CRIMINAL_CHARGE,9,9,3,3,no_relation,per:charges,0.990234375
033,"Although frequently seen together at various events , Michael Stewart and Olivia Stewart are business partners and not a married couple .",Michael Stewart,Olivia Stewart,PERSON,PERSON,8,8,11,12,no_relation,per:spouse,0.99609375
034,"Despite media speculation , SilverWave Industries was never acquired by OmegaTech and remains a completely independent organization .",SilverWave Industries,OmegaTech,ORGANIZATION,ORGANIZATION,4,4,10,10,no_relation,no_relation,0.80224609375
035,"Despite spending years working on projects for EcoTech , Daniel Reynolds was never an official employee but a freelance advisor .",Daniel Reynolds,EcoTech,PERSON,ORGANIZATION,9,9,7,7,no_relation,per:employee_of,0.998046875
036,"While James Foster was investigated for embezzlement , he was never officially charged due to insufficient evidence .",James Foster,embezzlement,PERSON,CRIMINAL_CHARGE,1,1,6,6,per:charges,per:charges,0.990234375
037,"Even though GreenSky Investments and Horizon Capital often collaborate on financial projects , they remain separate entities with no ownership ties .",GreenSky Investments,Horizon Capital,ORGANIZATION,ORGANIZATION,2,2,5,6,no_relation,no_relation,1.0
038,"Born and raised in San Francisco , Ava Collins later moved to New York for her career in finance .",Ava Collins,San Francisco,PERSON,CITY,7,7,4,5,per:city_of_birth,per:city_of_birth,0.99365234375
039,"The official website for Visionary Solutions can be found at www.visionarysolutions.com , where visitors can explore the company's services .",Visionary Solutions,www.visionarysolutions.com,ORGANIZATION,URL,4,4,10,10,org:website,org:website,0.998046875
